EmployeeID,Age,Gender,Department,JobRole,EducationField,MaritalStatus,BusinessTravel,Education,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,41,Female,Sales,Sales Executive,Life Sciences,Single,Travel_Rarely,2,2,6,4,0,5
2,49,Male,Research & Development,Research Scientist,Life Sciences,Married,Travel_Frequently,1,2,10,7,1,7
3,37,Male,Research & Development,Laboratory Technician,Other,Single,Travel_Rarely,2,1,0,0,0,0
4,33,Female,Research & Development,Research Scientist,Life Sciences,Married,Travel_Frequently,4,1,8,7,3,0
5,27,Male,Research & Development,Laboratory Technician,Medical,Married,Travel_Rarely,1,1,2,2,2,2
6,32,Male,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Frequently,2,1,7,7,3,6
7,59,Female,Research & Development,Laboratory Technician,Medical,Married,Travel_Rarely,3,1,1,0,0,0
8,30,Male,Research & Development,Laboratory Technician,Life Sciences,Divorced,Travel_Rarely,1,1,1,0,0,0
9,38,Male,Research & Development,Manufacturing Director,Life Sciences,Single,Travel_Frequently,3,3,9,7,1,8
10,36,Male,Research & Development,Healthcare Representative,Medical,Married,Travel_Rarely,3,2,7,7,7,7
11,35,Male,Research & Development,Laboratory Technician,Medical,Married,Travel_Rarely,3,1,5,4,0,3
12,29,Female,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Rarely,2,2,9,5,0,8
13,31,Male,Research & Development,Research Scientist,Life Sciences,Divorced,Travel_Rarely,1,1,5,2,4,3
14,34,Male,Research & Development,Laboratory Technician,Medical,Divorced,Travel_Rarely,2,1,2,2,1,2
15,28,Male,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Rarely,3,1,4,2,0,3
16,29,Female,Research & Development,Manufacturing Director,Life Sciences,Divorced,Travel_Rarely,4,3,10,9,8,8
17,32,Male,Research & Development,Research Scientist,Life Sciences,Divorced,Travel_Rarely,2,1,6,2,0,5
18,22,Male,Research & Development,Laboratory Technician,Medical,Divorced,Non-Travel,2,1,1,0,0,0
19,53,Female,Sales,Manager,Life Sciences,Married,Travel_Rarely,4,4,25,8,3,7
20,38,Male,Research & Development,Research Scientist,Life Sciences,Single,Travel_Rarely,3,1,3,2,1,2
21,24,Female,Research & Development,Manufacturing Director,Other,Divorced,Non-Travel,2,2,4,2,1,3
22,36,Male,Sales,Sales Representative,Life Sciences,Single,Travel_Rarely,4,1,5,3,0,3
23,34,Female,Research & Development,Research Director,Life Sciences,Single,Travel_Rarely,4,3,12,6,2,11
24,21,Male,Research & Development,Research Scientist,Life Sciences,Single,Travel_Rarely,2,1,0,0,0,0
25,34,Male,Research & Development,Research Scientist,Medical,Single,Travel_Rarely,1,1,4,2,1,3
26,53,Female,Research & Development,Manager,Other,Divorced,Travel_Rarely,3,5,14,13,4,8
27,32,Female,Research & Development,Research Scientist,Life Sciences,Single,Travel_Frequently,1,1,10,2,6,7
28,42,Male,Sales,Sales Executive,Marketing,Married,Travel_Rarely,4,2,9,7,4,2
29,44,Female,Research & Development,Healthcare Representative,Medical,Married,Travel_Rarely,4,3,22,6,5,17
30,46,Female,Sales,Manager,Marketing,Single,Travel_Rarely,4,5,2,2,2,1
31,33,Male,Research & Development,Laboratory Technician,Medical,Single,Travel_Rarely,3,1,1,1,0,0
32,44,Male,Research & Development,Healthcare Representative,Other,Married,Travel_Rarely,4,2,4,2,1,3
33,30,Male,Research & Development,Laboratory Technician,Medical,Single,Travel_Rarely,2,1,10,0,1,8
34,39,Male,Sales,Sales Representative,Technical Degree,Married,Travel_Rarely,3,2,1,0,0,0
35,24,Male,Research & Development,Research Scientist,Medical,Married,Travel_Rarely,3,1,2,0,2,0
36,43,Female,Research & Development,Research Scientist,Medical,Divorced,Travel_Rarely,2,1,5,3,1,4
37,50,Male,Sales,Sales Representative,Marketing,Married,Travel_Rarely,2,1,3,2,0,2
38,35,Female,Sales,Sales Representative,Marketing,Married,Travel_Rarely,3,1,2,2,2,2
39,36,Female,Research & Development,Research Scientist,Life Sciences,Married,Travel_Rarely,4,1,1,1,0,0
40,33,Female,Sales,Sales Executive,Life Sciences,Married,Travel_Frequently,3,2,5,3,1,3
41,35,Male,Research & Development,Laboratory Technician,Other,Divorced,Travel_Rarely,2,1,1,0,0,0
42,27,Female,Research & Development,Laboratory Technician,Life Sciences,Divorced,Travel_Rarely,4,1,1,0,0,0
43,26,Male,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Rarely,3,1,1,0,0,1
44,27,Male,Sales,Sales Executive,Life Sciences,Single,Travel_Frequently,3,3,9,8,1,7
45,30,Female,Research & Development,Laboratory Technician,Medical,Single,Travel_Frequently,2,2,12,8,3,7
46,41,Female,Research & Development,Research Director,Technical Degree,Married,Travel_Rarely,3,5,22,15,15,8
47,34,Male,Sales,Sales Executive,Marketing,Single,Non-Travel,4,2,9,5,8,7
48,37,Male,Research & Development,Research Scientist,Life Sciences,Married,Travel_Rarely,2,1,1,0,0,0
49,46,Male,Sales,Sales Executive,Marketing,Single,Travel_Frequently,4,2,9,6,0,8
50,35,Male,Research & Development,Laboratory Technician,Life Sciences,Married,Travel_Rarely,1,1,1,0,0,1
51,48,Male,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Rarely,2,3,1,0,0,0
52,28,Male,Research & Development,Laboratory Technician,Technical Degree,Single,Travel_Rarely,4,1,2,2,2,2
53,44,Female,Sales,Sales Executive,Marketing,Divorced,Travel_Rarely,5,2,4,3,1,3
54,35,Male,Research & Development,Healthcare Representative,Medical,Married,Non-Travel,2,3,4,0,2,3
55,26,Female,Sales,Sales Executive,Marketing,Married,Travel_Rarely,3,2,2,2,0,0
56,33,Female,Research & Development,Research Director,Life Sciences,Single,Travel_Frequently,2,3,15,14,8,12
57,35,Male,Sales,Sales Executive,Life Sciences,Married,Travel_Frequently,5,3,9,8,1,8
58,35,Female,Research & Development,Laboratory Technician,Medical,Married,Travel_Rarely,4,1,2,2,2,2
59,31,Male,Research & Development,Laboratory Technician,Life Sciences,Divorced,Travel_Rarely,4,2,7,7,1,7
60,37,Male,Research & Development,Manufacturing Director,Life Sciences,Divorced,Travel_Rarely,4,2,7,5,0,7
61,32,Male,Research & Development,Manufacturing Director,Medical,Married,Travel_Rarely,3,2,9,8,7,8
62,38,Female,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Frequently,5,2,10,3,9,9
63,50,Female,Research & Development,Research Director,Medical,Divorced,Travel_Rarely,2,5,27,3,13,8
64,59,Female,Sales,Sales Executive,Life Sciences,Single,Travel_Rarely,3,3,21,16,7,9
65,36,Female,Research & Development,Healthcare Representative,Technical Degree,Divorced,Travel_Rarely,3,3,17,14,12,8
66,55,Female,Research & Development,Manager,Medical,Divorced,Travel_Rarely,3,4,5,0,0,2
67,36,Male,Research & Development,Manufacturing Director,Life Sciences,Single,Travel_Frequently,3,2,6,5,0,3
68,45,Male,Research & Development,Research Scientist,Life Sciences,Divorced,Travel_Rarely,3,3,1,0,0,0
69,35,Male,Research & Development,Research Scientist,Medical,Married,Travel_Frequently,3,1,3,2,1,2
70,36,Male,Research & Development,Research Scientist,Medical,Married,Travel_Rarely,3,1,1,0,0,0
71,59,Female,Sales,Sales Executive,Life Sciences,Single,Travel_Frequently,1,2,4,3,1,3
72,29,Male,Research & Development,Research Scientist,Life Sciences,Married,Travel_Rarely,3,1,5,4,0,4
73,31,Male,Research & Development,Research Scientist,Medical,Single,Travel_Rarely,4,1,1,1,1,0
74,32,Male,Research & Development,Research Scientist,Life Sciences,Married,Travel_Rarely,3,2,10,4,0,9
75,36,Female,Research & Development,Laboratory Technician,Life Sciences,Married,Travel_Rarely,3,1,1,0,0,0
76,31,Female,Research & Development,Manufacturing Director,Life Sciences,Single,Travel_Rarely,4,2,11,7,1,8
77,35,Male,Sales,Sales Executive,Marketing,Single,Travel_Rarely,4,2,15,13,2,8
78,45,Male,Research & Development,Research Director,Other,Married,Travel_Rarely,4,3,0,0,0,0
79,37,Male,Research & Development,Research Director,Medical,Single,Travel_Rarely,4,3,5,2,0,2
80,46,Male,Human Resources,Human Resources,Medical,Divorced,Travel_Rarely,2,2,4,2,0,2
81,30,Male,Research & Development,Laboratory Technician,Life Sciences,Married,Travel_Rarely,1,2,10,8,3,0
82,35,Male,Research & Development,Research Scientist,Medical,Single,Travel_Rarely,3,1,6,4,0,4
83,55,Male,Sales,Sales Executive,Life Sciences,Married,Travel_Rarely,2,3,1,0,1,0
84,38,Female,Research & Development,Research Scientist,Medical,Divorced,Non-Travel,3,2,13,11,1,9
85,34,Male,Research & Development,Manufacturing Director,Medical,Married,Travel_Rarely,2,2,5,2,1,3
86,56,Male,Research & Development,Manufacturing Director,Life Sciences,Single,Travel_Rarely,3,3,6,4,0,2
87,23,Male,Sales,Sales Representative,Technical Degree,Divorced,Travel_Rarely,1,1,0,0,0,0
88,51,Male,Research & Development,Laboratory Technician,Life Sciences,Married,Travel_Rarely,4,1,4,2,0,3
89,30,Male,Research & Development,Healthcare Representative,Life Sciences,Married,Travel_Rarely,3,2,11,10,10,8
90,46,Male,Sales,Sales Executive,Medical,Single,Travel_Rarely,2,3,9,8,4,7
91,40,Male,Research & Development,Healthcare Representative,Life Sciences,Married,Travel_Frequently,4,4,22,3,11,11
92,51,Male,Sales,Sales Executive,Marketing,Single,Travel_Rarely,4,2,10,7,1,0
93,30,Female,Sales,Sales Executive,Medical,Divorced,Travel_Rarely,2,2,11,8,2,7
94,46,Male,Research & Development,Healthcare Representative,Medical,Married,Travel_Frequently,3,3,10,9,9,5
95,32,Male,Sales,Sales Executive,Medical,Single,Travel_Rarely,4,2,11,8,5,7
96,54,Female,Research & Development,Research Director,Technical Degree,Married,Travel_Rarely,4,3,4,3,0,3
97,24,Female,Sales,Sales Executive,Other,Married,Travel_Rarely,2,2,3,2,0,2
98,28,Male,Sales,Sales Executive,Medical,Married,Non-Travel,3,2,5,4,0,4
99,58,Male,Sales,Sales Executive,Medical,Single,Travel_Rarely,4,4,37,10,1,8
100,44,Male,Research & Development,Laboratory Technician,Medical,Married,Non-Travel,3,2,3,2,1,2
101,37,Male,Human Resources,Human Resources,Human Resources,Divorced,Travel_Rarely,4,1,3,2,0,2
102,32,Male,Research & Development,Research Scientist,Life Sciences,Single,Travel_Rarely,1,1,1,0,0,0
103,20,Female,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Frequently,3,1,1,0,1,0
104,34,Female,Research & Development,Research Scientist,Other,Single,Travel_Rarely,4,2,16,13,2,10
105,37,Male,Research & Development,Healthcare Representative,Life Sciences,Divorced,Non-Travel,2,2,1,0,0,0
106,59,Female,Human Resources,Manager,Human Resources,Married,Non-Travel,4,5,3,2,2,2
107,50,Female,Research & Development,Research Director,Life Sciences,Married,Travel_Frequently,3,5,8,3,0,7
108,25,Male,Sales,Sales Executive,Marketing,Single,Travel_Rarely,3,2,6,4,0,3
109,25,Male,Research & Development,Research Scientist,Medical,Married,Travel_Rarely,1,1,2,2,2,1
110,22,Female,Research & Development,Laboratory Technician,Medical,Single,Travel_Rarely,3,1,0,0,0,0
111,51,Female,Research & Development,Healthcare Representative,Medical,Single,Travel_Frequently,4,3,13,12,12,8
112,34,Male,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Frequently,3,2,9,7,0,6
113,54,Female,Human Resources,Manager,Human Resources,Single,Non-Travel,3,4,5,3,4,4
114,24,Male,Research & Development,Laboratory Technician,Life Sciences,Married,Travel_Rarely,1,1,5,3,1,2
115,34,Female,Research & Development,Research Scientist,Life Sciences,Divorced,Travel_Rarely,4,2,1,0,0,0
116,37,Male,Sales,Sales Executive,Life Sciences,Single,Travel_Rarely,3,3,5,3,1,3
117,34,Female,Research & Development,Manager,Medical,Single,Travel_Rarely,3,3,11,10,5,8
118,36,Female,Sales,Sales Executive,Technical Degree,Married,Travel_Frequently,2,3,9,7,2,8
119,36,Female,Research & Development,Laboratory Technician,Life Sciences,Divorced,Travel_Rarely,2,1,1,0,0,0
120,43,Male,Sales,Manager,Life Sciences,Married,Travel_Frequently,2,4,25,12,4,12
121,30,Male,Research & Development,Research Scientist,Life Sciences,Divorced,Travel_Frequently,3,1,10,7,0,9
